Board,Net,Component,Designator,Connector Name,,
Main_Module,GND,J3,28,MAIN_A,,
Main_Module,SDC13,J3,29,MAIN_A,,
Main_Module,SDC12,J3,30,MAIN_A,,
Main_Module,GB_Ther_L,J3,31,MAIN_A,,
Main_Module,GND,J3,32,MAIN_A,,
Main_Module,GND,J3,33,MAIN_A,,
Main_Module,WS_L_Raw,J3,34,MAIN_A,,
Main_Module,5V_NonCrit,J3,35,MAIN_A,,
Main_Module,SDC12,J4,1,MAIN_B,,
Main_Module,SDC11,J4,2,MAIN_B,,
Main_Module,GND,J4,3,MAIN_B,,
Main_Module,EmeterPowerFused,J4,4,MAIN_B,,
Main_Module,GND,J4,5,MAIN_B,,
Main_Module,GND,J4,6,MAIN_B,,
Main_Module,LVAL+,J4,7,MAIN_B,,
Main_Module,TSAL+,J4,8,MAIN_B,,
Main_Module,SDC11,J4,9,MAIN_B,,
Main_Module,SDC10,J4,10,MAIN_B,,
Main_Module,SDC10,J4,11,MAIN_B,,
Main_Module,SDC9,J4,12,MAIN_B,,
Main_Module,Emeter_Com_P,J4,13,MAIN_B,,
Main_Module,Emeter_Com_N,J4,14,MAIN_B,,
Main_Module,Voltage MC Transducer,J4,15,MAIN_B,,
Main_Module,5V_Crit,J4,16,MAIN_B,,
Main_Module,SDC15,J4,17,MAIN_B,,
Main_Module,Shock_Power,J4,18,MAIN_B,,
Main_Module,Shock_Power,J4,19,MAIN_B,,
Main_Module,RightPot,J4,20,MAIN_B,,
Main_Module,Buzzer+,J4,21,MAIN_B,,
Main_Module,Brake_Light+,J4,22,MAIN_B,,
Main_Module,Load_Sense_Power,J4,23,MAIN_B,,
Main_Module,Batt_Ther_1,J4,24,MAIN_B,,
Main_Module,Batt_Ther_2,J4,25,MAIN_B,,
Main_Module,GND,J4,27,MAIN_B,,
Main_Module,GND,J4,28,MAIN_B,,
Main_Module,GND,J4,29,MAIN_B,,
Main_Module,GND,J4,30,MAIN_B,,
Main_Module,LeftPot,J4,31,MAIN_B,,
Main_Module,GND,J4,32,MAIN_B,,
Main_Module,GND,J4,33,MAIN_B,,
Main_Module,GND,J4,34,MAIN_B,,
Main_Module,LOAD_RL_RAW,J4,35,MAIN_B,,
Main_Module,GB_Ther_R,J7,1,MAIN_C,,
Main_Module,SDC13,J7,2,MAIN_C,,
Main_Module,RS232_R_MC_TX,J7,3,MAIN_C,,
Main_Module,RS232_L_MC_TX,J7,4,MAIN_C,,
Main_Module,RS232_L_MC_RX,J7,5,MAIN_C,,
Main_Module,Load_Sense_Power,J7,6,MAIN_C,,
Main_Module,DT_Ther_1,J7,7,MAIN_C,,
Main_Module,DT_Ther_2,J7,8,MAIN_C,,
Main_Module,GND,J7,9,MAIN_C,,
Main_Module,SDC14,J7,10,MAIN_C,,
Main_Module,RS232_R_MC_RX,J7,11,MAIN_C,,
Main_Module,5V_Crit,J7,12,MAIN_C,,
Main_Module,5V_Crit,J7,13,MAIN_C,,
Main_Module,LOAD_RR_RAW,J7,14,MAIN_C,,
Main_Module,GND,J7,15,MAIN_C,,
Main_Module,5V_NonCrit,J7,17,MAIN_C,,
Main_Module,WS_R_Raw,J7,18,MAIN_C,,
Main_Module,GND,J7,19,MAIN_C,,
Main_Module,GND,J7,20,MAIN_C,,
Main_Module,GND,J7,21,MAIN_C,,
Main_Module,GND,J7,22,MAIN_C,,
Main_Module,GND,J7,23,MAIN_C,,
Main_Module,Ther-Mux-S0_Prot,U1,1,MCU,,
Main_Module,Ther-Mux-S1_Prot,U1,2,MCU,,
Main_Module,Ther-Mux-S2_Prot,U1,3,MCU,,
Main_Module,PrechargeComplete_Prot,U1,4,MCU,,
Main_Module,GND,U1,10,MCU,,
Main_Module,3.3V,U1,11,MCU,,
Main_Module,RST,U1,14,MCU,,
Main_Module,Ther-Mux-Out_Prot,U1,15,MCU,,
Main_Module,LOAD_RL_FILT_Prot,U1,16,MCU,,
Main_Module,PotAmpR_Prot,U1,17,MCU,,
Main_Module,PotAmpL_Prot,U1,18,MCU,,
Main_Module,3.3V,U1,19,MCU,,
Main_Module,GND,U1,20,MCU,,
Main_Module,Vref,U1,21,MCU,,
Main_Module,3.3V,U1,22,MCU,,
Main_Module,VBatt-Clamped_Prot,U1,23,MCU,,
Main_Module,VMC-Clamped_Prot,U1,24,MCU,,
Main_Module,USART_R_MC_TX_Prot,U1,25,MCU,,
Main_Module,USART_R_MC_RX_Prot,U1,26,MCU,,
Main_Module,GND,U1,27,MCU,,
Main_Module,3.3V,U1,28,MCU,,
Main_Module,LOAD_RR_FILT_Prot,U1,29,MCU,,
Main_Module,SPI1_SCK,U1,30,MCU,,
Main_Module,SPI1_MISO,U1,31,MCU,,
Main_Module,SPI1_MOSI,U1,32,MCU,,
Main_Module,EEPROM_NSS,U1,35,MCU,,
Main_Module,EEPROM_nWP,U1,36,MCU,,
Main_Module,VCAP1,U1,49,MCU,,
Main_Module,3.3V,U1,50,MCU,,
Main_Module,EMETER-CAN-RX,U1,51,MCU,,
Main_Module,EMETER-CAN-TX,U1,52,MCU,,
Main_Module,BRAKE_BUZZ_STAT_Prot,U1,54,MCU,,
Main_Module,TSAL_LVAL_STAT_Prot,U1,57,MCU,,
Main_Module,MCU_Control_Prot,U1,58,MCU,,
Main_Module,Buzzer_Prot,U1,59,MCU,,
Main_Module,BMS-Status-Main_Prot,U1,60,MCU,,
Main_Module,Brake_Light_CTRL_Prot,U1,61,MCU,,
Main_Module,SDC-Mux-S1_Prot,U1,62,MCU,,
Main_Module,SDC-Mux-S2_Prot,U1,63,MCU,,
Main_Module,SDC-Mux-S3_Prot,U1,64,MCU,,
Main_Module,SDC-Mux-Out_Prot,U1,65,MCU,,
Main_Module,SDC-Mux-S0_Prot,U1,66,MCU,,
Main_Module,WS_R_Clean_Prot,U1,67,MCU,,
Main_Module,USART_L_MC_TX_Prot,U1,68,MCU,,
Main_Module,USART_L_MC_RX_Prot,U1,69,MCU,,
Main_Module,VCAN_RX,U1,70,MCU,,
Main_Module,VCAN_TX,U1,71,MCU,,
Main_Module,SWDIO,U1,72,MCU,,
Main_Module,VCAP2,U1,73,MCU,,
Main_Module,GND,U1,74,MCU,,
Main_Module,3.3V,U1,75,MCU,,
Main_Module,SWCLK,U1,76,MCU,,
Main_Module,HEARTBEAT,U1,83,MCU,,
Main_Module,CONN_LED,U1,84,MCU,,
Main_Module,ERR_LED,U1,85,MCU,,
Main_Module,WS_L_Clean_Prot,U1,92,MCU,,
Main_Module,BOOT,U1,94,MCU,,
Main_Module,GND,U1,99,MCU,,
Main_Module,3.3V,U1,100,MCU,,
Main_Module,VCAN_N,P14,1,PDU,,
Main_Module,VCAN_P,P14,2,PDU,,
Main_Module,GND,P14,3,PDU,,
Main_Module,SDC15,P14,4,PDU,,
Main_Module,SDC14,P14,5,PDU,,
Main_Module,GND,P14,6,PDU,,
Main_Module,SDC_Fused,P14,7,PDU,,
Main_Module,5V_NonCrit,P14,8,PDU,,
Main_Module,5V_Crit,P14,9,PDU,,
Main_Module,GND,P14,10,PDU,,
Main_Module,GND,P14,11,PDU,,
Main_Module,Raw_ABox,P14,12,PDU,,
Main_Module,Raw_Dash,P14,13,PDU,,
Main_Module,LV_Raw,P14,14,PDU,,
MainSDC,Brake Fail,J1,1,,,
MainSDC,Brake Status,J1,2,,,
MainSDC,Current Sense C1,J1,3,,,
MainSDC,BMS-Status-Main,J1,4,,,
